Code,Item Name,Trader,Offer,Bonus,T.P
7527,GLUCONORM 1/500MG TAB,ALI GOHAR PHARMACEUTICALS,50.00%,,233.75
6904,OSNATE-D TAB,ALI GOHAR PHARMACEUTICALS,7.00%,,407.20
4180,POZE 15 MG TABS,ALI GOHAR PHARMACEUTICALS,50.00%,,238.00
4740,SEVEN SEAS CAP 60`S,ALINA COMBINE,24.00%,,501.50
6234,CAL-D TAB,ALIVE PHARMA,0.00%,125/NET,306.00
1765,EXOCIN S.O.P OINT,ALLERGAN,20.00%,EXP 05/2024,94.66
2458,HYZONATE 100 MG INJ,AMSONS FARMACO,15.00%,,104.01
2459,HYZONATE 250 MG INJ,AMSONS FARMACO,15.00%,,184.75
7408,HYZONATE 500MG INJ,AMSONS FARMACO,15.00%,,364.96
7776,ADRANCE M 12.5/500,ATCO LABORATORIES,8.00%,,382.50
7386,ATCOMID 50MG TAB,ATCO LABORATORIES,30.00%,,408.00
7624,AVANEP EYE DROP,ATCO LABORATORIES,36.00%,,425.00
7264,BRACIN DROP,ATCO LABORATORIES,36.00%,,183.98
7781,BRIMO DROP,ATCO LABORATORIES,36.00%,,488.75
1462,DISTALGESIC TAB,ATCO LABORATORIES,7.00%,,178.52
7621,GLANTRIM EYE DROP,ATCO LABORATORIES,35.00%,,977.50
3235,MEROL TABLETS 25MG,ATCO LABORATORIES,4.00%,,79.64
7595,NADARD CREAM,ATCO LABORATORIES,25.00%,,267.06
6507,OSSTIUM  2G SACHET,ATCO LABORATORIES,15.00%,,1041.25
7265,OXCIN-D DROP,ATCO LABORATORIES,36.00%,,327.25
7780,ROPSOL DROP,ATCO LABORATORIES,36.00%,,357.03
7725,BARINEP EYE DROP,BARRET HODGSON,13.00%,,459.00
1021,CIPOCAIN EAR DROP,BARRET HODGSON,5.00%,,142.80
1022,CIPOTIC EAR DROP,BARRET HODGSON,5.00%,,120.70
2573,IRECON 150 MG TABS,BARRET HODGSON,8.00%,,306.00
7032,IRECON-H 150MG TAB,BARRET HODGSON,6.00%,,263.50
7036,IRECON-H 300MG TAB,BARRET HODGSON,6.00%,,467.50
4082,PERSCH 1MG TAB,BARRET HODGSON,10.00%,,289.00
4083,PERSCH 2 MG TABS,BARRET HODGSON,10.00%,,382.50
7034,ROSUBAR 10MG TAB,BARRET HODGSON,8.00%,,331.50
4637,SARTAN 50MG TAB,BARRET HODGSON,9.00%,,297.50
4708,SERADEP 10 MG TABS,BARRET HODGSON,12.00%,,391.00
6644,SERADEP 5MG TAB,BARRET HODGSON,10.00%,,272.00
7553,TERLAX 4MG TAB,BARRET HODGSON,30.00%,,238.00
488,BAYDAL TAB,BAYER,2.00%,,512.92
3988,PANADOL-CF TAB. +,BEECHAM,0.00%,430/NET,418.17
7771,LAZMA CREAM SMALL,BIO-LABS,33.00%,,147.05
6515,EXAPRO 10MG TAB,C.C.L,6.00%,,357.36
6516,EXAPRO 20MG TAB,C.C.L,9.00%,,500.69
6514,EXAPRO 5MG TAB,C.C.L,6.00%,,274.89
6502,PARAXYL CR 12.5MG TAB,C.C.L,7.00%,,854.12
6503,PARAXYL CR 25MG,C.C.L,8.00%,,1237.01
7305,PARAXYL CR 37.5MG TAB,C.C.L,7.00%,,461.42
4011,PARAXYL TABLETS 20MG,C.C.L,8.00%,,417.25
6820,ANPRA 0.5MG TAB,CIRIN PHARMACEUTICAL LTD.,20.00%,,241.08
7298,LORIN NSA 30TAB (L),CONTINENTAL PHARMA,14.00%,,399.69
6485,MOXIBACT 400MG TAB,CONTINENTAL PHARMA,16.00%,,382.50
5496,VOREN TAB 50MG,CONTINENTAL PHARMA,9.00%,,807.28
2753,KLARIBACT 125MG SYP (MERC,E-MERCK/A.D. MARKER,24.00%,,363.80
7087,TRAMAPAR TAB,EFROZE CHEMICAL,18.00%,,170.00
5580,XAVOR 50 MG TAB,FEROZSONS(SPENCER PHARMA),10.00%,,227.72
5581,XAVOR-DIU-TAB  +,FEROZSONS(SPENCER PHARMA),10.00%,,233.43
5673,ZENITH 0.25 +,FEROZSONS(SPENCER PHARMA),17.00%,,70.23
7723,VIX SOOTHING TAB JAR,FOCUS & RULZ HEALTHCARE,30.00%,,360.17
96,ADVANT 16 MG TABS,GETZ PHARMA,7.00%,,446.25
97,ADVANT 8MG TABLETS,GETZ PHARMA,5.00%,,340.00
104,ADVANTEC 16MG/12.5MG TAB.,GETZ PHARMA,7.00%,,892.50
902,CEFIGET 100 MG SYRUP,GETZ PHARMA,10.00%,,242.48
903,CEFIGET DS SYRUP,GETZ PHARMA,10.00%,,280.50
943,CELBEXX 100MG CAP,GETZ PHARMA,9.00%,,336.60
944,CELBEXX 200MG CAP,GETZ PHARMA,9.00%,,527.51
7530,EBAGET-D 10MG TAB,GETZ PHARMA,5.00%,,187.00
6818,FENOGET 67MG CAP,GETZ PHARMA,7.00%,,539.75
6112,GABICA 100MG,GETZ PHARMA,11.00%,,467.50
6113,GABICA 50MG,GETZ PHARMA,10.00%,,344.25
6114,GABICA 75MG,GETZ PHARMA,10.00%,,420.75
2155,GETRYL 2MG TAB,GETZ PHARMA,6.00%,,444.51
2157,GETRYL 4MG TAB,GETZ PHARMA,9.00%,,909.50
2888,LEFLOX 250MG TAB,GETZ PHARMA,5.00%,,242.25
2939,LIPIGET 10 MG TABS,GETZ PHARMA,6.00%,,246.50
2940,LIPIGET 20 MG TABS,GETZ PHARMA,10.00%,,424.15
2941,LIPIGET 40 MG TABS,GETZ PHARMA,7.00%,,531.25
3348,MONTIGET 10MG TAB(GETZ,GETZ PHARMA,12.00%,,428.40
6362,NEBIL 2.5MG TAB,GETZ PHARMA,10.00%,,169.15
6363,NEBIL 5MG TAB,GETZ PHARMA,10.00%,,289.00
3621,NEXUM 20MG CAP (GETZ PHAR,GETZ PHARMA,12.00%,,298.41
3622,NEXUM 40MG (GETZ),GETZ PHARMA,9.00%,,510.42
7447,NIMIXA 200MG TAB,GETZ PHARMA,4.00%,,382.50
7445,RAZODEX 30MG TAB,GETZ PHARMA,6.00%,,612.00
4492,RISEK 20MG CAPS (21`S),GETZ PHARMA,5.00%,,467.50
4493,RISEK 40 MG CAPS 21`S,GETZ PHARMA,5.00%,,654.50
4494,RISEK INFUSION  40MG,GETZ PHARMA,27.00%,,420.75
4561,ROVISTA 10 MG TABS,GETZ PHARMA,6.00%,,995.76
4562,ROVISTA 20 MG TABS,GETZ PHARMA,7.00%,,1530.00
6253,TAMSOLIN 0.4MG CAP,GETZ PHARMA,12.00%,,1041.25
6856,TREVIAMET 50/1000MG TAB,GETZ PHARMA,5.00%,,457.37
6812,TREVIAMET 50/500 MG,GETZ PHARMA,10.00%,,445.74
7404,TREVIAMET XR 50/1000,GETZ PHARMA,7.00%,,509.15
7403,TREVIAMET XR 50/500,GETZ PHARMA,7.00%,,501.50
C511,VONOZAN 20MG TAB,GETZ PHARMA,10.00%,,637.50
7526,ZAVGET 10MG TAB,GETZ PHARMA,14.00%,,416.50
6066,ZETRO 200MG SYP,GETZ PHARMA,10.00%,,229.50
5756,ZOLID TABLETS 45MG (GETZ),GETZ PHARMA,35.00%,,420.75
1814,FAMICOL FORTE,HEALTH AID,17.00%,,1785.00
1815,FAMICOL PLAIN CAP,HEALTH AID,17.00%,,1241.00
2288,HAIR VIT CAP +,HEALTH AID,16.00%,,1700.00
1049,CITANEW 10MG TAB,HILTON,3.00%,,373.06
1050,CITANEW 20MG TAB,HILTON,4.00%,,542.64
6729,FIBO SACHET,HILTON,3.00%,,262.92
1998,FLUX CAP,HILTON,5.00%,,318.75
6121,RONIROL 1MGTAB,HILTON,2.00%,,688.50
7694,VONIZA 10MG TAB,HILTON,10.00%,,347.82
7550,XENGLU 10MG TAB,HILTON,3.00%,,329.46
7632,XENGLU MET 5/1000 TAB,HILTON,3.00%,,344.96
5916,ZEEGAP 100MG CAP,HILTON,7.00%,,461.38
7576,FORTEXONE 1GM IV,ICI,0.00%,190/NET,375.37
7779,FORTEXONE 2GM IV,ICI,0.00%,270/NET,491.42
2431,HY-CORTISONE 100 MG INJ,ICI,22.00%,,121.55
6814,HY-CORTISONE 250MG INJ,ICI,27.00%,,212.70
7407,HY-CORTISONE 500MG INJ,ICI,33.00%,,387.60
7244,MERONEM 1GM INJ,ICI,5.00%,,2689.26
7245,MERONEM 500MG INJ,ICI,6.00%,,1389.60
4607,SAKOON TAB.,ICI,29.00%,,220.62
7008,COOLING PATCH ORIGINAL,LOCAL ITEMS,0.00%,300/NET,445.50
7545,CRESCOR 5MG TAB,MARTIN DOW,40.00%,,178.51
7635,ROZANTO 50MG TAB,MARTIN DOW,45.00%,,586.51
7554,SITAPHAGE 50/500MG TAB,MARTIN DOW,26.00%,,361.25
7785,SPIRIDOW 18MCG CAP,MARTIN DOW,17.00%,,528.68
1293,DARVIN TAB (PHARMADIC,MIX ITEMS,3.00%,,148.75
1305,DECADRON 1 CC INJ,MSD,7.00%,OLD TP,527.81
897,CEFEXOL CAP NABIQASIM,NABIQASIM,34.00%,,423.30
898,CEFEXOL DS SYRUP,NABIQASIM,29.00%,,296.74
6857,INDROP D CAP,NEUTRO PHARMA,19.00%,,297.50
5640,ZATOFEN TAB +,NORVARTIS (PREMAIER),3.00%,,284.75
850,CARDURA 4MG TABLETS,PFIZER LABORATORIES,4.00%,,1333.95
3646,NISE TAB,PHARMEVO,7.00%,,190.40
5480,VOLTAFLAM 100MG,PLATINUM,10.00%,,191.25
129,AKNIL SOAP,RAYUON SKIN CARE,11.00%,,187.00
1343,DERMITAR BAR,RAYUON SKIN CARE,10.00%,,187.00
