
                               MEMON COMMODITIES
                               SHOP # 11, ZEENAT EXTENTION, GATE-A,    
                               DENSO HALL, KARACHI                     

                               O F F E R   L I S T

               

     LIST # : 000096          DATE    :  21/05/2023          PAGE :    1
     +------+--------------------------------+-------------+------------+
     | CODE |           ITEM NAME            |    BONUS    |  DISCOUNT  |
     +------+--------------------------------+-------------+------------+
                                                       
     |0562  |ADMIT 50/1000                   |             |  12.00  %  |
     |0547  |ADMIT 50/500 TAB                |             |  25.00  %  |
     |0351  |ARBI D 300/25                   |             |   2.00  %  |
     |12    |ARTHOLEX ADVANCED               |             |  10.00  %  |
     |0393  |AVSAR PLUS 160/5/25             |             |   3.00  %  |
     |034   |AZOMOX 500 OLD                  |TP           |   0.00  %  |
     |0225  |BOFALGAN ING                    |CTN 6        |   4.00  %  |
     |0259  |BONCAL PLUS SMALL 15TAB         |             |   5.00  %  |
     |0468  |CEDAK PLUS TABLET               |             |   7.00  %  |
     |0158  |CO EXTOR 10/160/12.5            |             |   2.00  %  |
     |035   |COLLAPEP SECHA                  |             |   1.00  %  |
     |0483  |CRAN ACTIVE 20CAP               |             |  10.00  %  |
     |0557  |CRAN CARE SACHETS               |             |  15.00  %  |
     |0395  |DANZEN DS NEW                   |             |   2.00  %  |
     |0167  |DAPA 10MG                       |             |   2.00  %  |
     |0168  |DAPA 5MG                        |             |   3.00  %  |
     |0338  |DIAJARD-M 5MG/500MG             |             |   4.00  %  |
     |0918  |DOL P TAB NEW NEW               |             |   5.00  %  |
     |0429  |DUVEL PLUS 50/1000              |             |  10.00  %  |
     |0313  |DYSIT INJ                       |             |  15.00  %  |
     |0509  |ESSO 20 FRESH                   |             |  10.00  %  |
     |0510  |ESSO 4O FRESH                   |             |  10.00  %  |
     |0343  |EZIUM 20 OLD                    |             |  16.00  %  |
     |0401  |FEMIDOL PLUS TAB                |             |   3.00  %  |
     |9835  |FERFER SACHE                    |             |   6.00  %  |
     |0221  |GALZAMET 50/1000                |             |  10.00  %  |
     |0220  |GALZAMET 50/500                 |             |  10.00  %  |
     |0542  |GETRYL 3MG TAB NEW NEW          |             |   2.00  %  |
     |0231  |GETRYL 4MG TAB NEW NEW          |             |   3.00  %  |
     |0426  |GLYTEC XR 50/500                |             |  14.00  %  |
     |9836  |IDOMARINE CAP                   |             |  20.00  %  |
     |0456  |INOCARE SECHA                   |             |   3.00  %  |
     |0558  |INOSITA 50/850 NEW NEW          |             |   5.00  %  |
     |0436  |JARDY MET 5/500                 |             |   6.00  %  |
     |0060  |K 1000                          |             |   3.00  %  |
     |0235  |LEFLOX 500 FRESH NEW            |             |   6.00  %  |
     |019   |MACROBAC 200MG 5ML SYRP         |             |   8.00  %  |
     |0475  |MEZERON 30MG                    |             |   8.00  %  |
     |0418  |OLD ARINAC FORT                 |NET 800      |   0.00  %  |
     |0434  |OLD BON-ONE TAB                 |             |   1.00  %  |
     |9763  |ONCE A DAY WOMEN                |             |  23.00  %  |
     |026   |OPT D 2LAC CAP                  |             |  10.00  %  |
     |9740  |QFOLIC TAB                      |             |   8.00  %  |
     |0555  |QPRO 30 NEW NEW                 |             |  20.00  %  |
