
                               SALMAN TRADER
                               ZEENAT EXTENTION MARKET, DENSO HALL,    
                               KARACHI                                 

                               O F F E R   L I S T

               PTCL 02132715641

     LIST # : 000001          DATE    :  25/05/2023          PAGE :    1
     +------+--------------------------------+-------------+------------+
     | CODE |           ITEM NAME            |    BONUS    |  DISCOUNT  |
     +------+--------------------------------+-------------+------------+
                                                       
     |3788  |NOVIPRAZ 10MG TAB               |             |  15.00  %  |
     |1998  |PROVIRON TAB                    |480 NET      |   0.00  %  |
                                                                  
     ALI GOHAR                                         
     |1786  |CECLOR PEDA DROPS               |             |   7.00  %  |
     |1920  |CHYMORAL FORTE                  |             |   7.00  %  |
     |7873  |EXATON 10/160                   |             |  30.00  %  |
     |7872  |EXATON 5/160                    |             |  30.00  %  |
     |7700  |EXATON 5/80                     |             |  30.00  %  |
     |7698  |GLUCONORM 1MG                   |             |  30.00  %  |
     |GLU1  |GLUCONORM 2MG TAB               |             |  30.00  %  |
     |7699  |GLUCONORM 3MG TAB               |             |  30.00  %  |
     |7758  |GLUCONORM 4MG TAB               |             |  30.00  %  |
     |7697  |GLUCONORM MET 2/500             |             |  30.00  %  |
     |7637  |GLYZIA MET 50/1000              |             |  30.00  %  |
     |7021  |GLYZIA MET 50/500               |             |  30.00  %  |
     |4726  |POZE 15MG.TAB                   |             |  30.00  %  |
     |7967  |POZE G 30/2                     |             |  30.00  %  |
     |7966  |POZE G 30/4                     |             |  30.00  %  |
     |7757  |POZE MET 15/850                 |             |  30.00  %  |
     |9971  |TRUGLI 25MG                     |             |  30.00  %  |
     |9970  |TRUGLIF 10MG                    |             |  30.00  %  |
     |9972  |TRUGLIF MET 12.500              |             |  30.00  %  |
                                                                  
     AMARANT PHARMA                                    
     |2245  |NEORIS 3MG TAB                  |             |  12.00  %  |
     |PRID  |PRIDE 50MG TAB                  |KHI          |   8.00  %  |
     |6545  |REVOLT 10MG TAB                 |             |  12.00  %  |
                                                                  
     ASIAN CONTINENTAL                                 
     |5577  |MAGNET 200 TAB                  |             |   7.00  %  |
     |4847  |MAGNET SYP                      |             |   7.00  %  |
     |4318  |MAGNET.DS.SYP                   |             |   7.00  %  |
     |5288  |MAGNETT 400MG TAB               |             |   6.00  %  |
                                                                  
     ATCO                                              
     |6530  |ADRANCE M 12.5/1000             |             |  16.00  %  |
     |6531  |ADRANCE M 12.5/500              |             |  10.00  %  |
     |3248  |CARDNIT 2.6                     |             |   2.00  %  |
     |DIO2  |DIO PLUS 10/160MG               |             |  11.00  %  |
     |DIO1  |DIO PLUS 5/160                  |             |  11.00  %  |
     |DIOP  |DIO PLUS 5/80                   |             |  11.00  %  |
     |2048  |GEMPID 600MG                    |             |  11.00  %  |
     |7689  |MY-D 50,000 CHEWABLE TAB        |             |  55.00  %  |
     |OSST  |OSSTIUM SACTH                   |             |  14.00  %  |
     |ROV1  |ROVATOR 10MG TAB                |             |   9.00  %  |
     |ROV4  |ROVATOR 20MG TAB                |             |   9.00  %  |
     |ROVA  |ROVATOR 5MG                     |             |   9.00  %  |
     |5323  |SYNGAB 100MG                    |             |  17.00  %  |
     |7313  |SYNGAB 25MG                     |             |  17.00  %  |
